created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 13:09:38 +0000 2023;1734198759264067719;"@detikcom Capres ini ingin menunjukkan bahwa korupsi adalah kejahatan serius yang harus ditindak dengan hukuman yang setimpal. Indonesia butuh pemimpin yang dapat bersinergi, dan saya yakin Ganjar dan Mahfud adalah pasangan yang m3nang memimpin bangsa ini dengan harmonis.";0;0;0;0;in;1723879341929738240;1734067987877867739;AuroraMaha59622;https://twitter.com/AuroraMaha59622/status/1734198759264067719
Mon Dec 11 13:09:35 +0000 2023;1734198744693023169;"Ganjar Pranowo, bukan hanya gubernur, tapi inspirasi bagi pemimpin lainnya. Sukses menurunkan kemiskinan, membuatnya pantas menjadi calon presiden. @EmaknyaDanny  https://t.co/QmsfJQ1Oid";0;0;0;0;in;1688805621666361345;1734198744693023169;bella_rimb1277;https://twitter.com/bella_rimb1277/status/1734198744693023169
Mon Dec 11 13:09:22 +0000 2023;1734198690678739145;"Ganjar Pranowo dianggap sebagai calon presiden yang lebih memahami kebutuhan dan aspirasi perempuan, tidak seperti Prabowo yang dianggap kurang peka terhadap isu tersebut. @Dwiahma81933834  https://t.co/f4XgsWuVPF";0;0;0;0;in;1681177227629666306;1734198690678739145;zubaidahabdllh;https://twitter.com/zubaidahabdllh/status/1734198690678739145
Mon Dec 11 13:09:09 +0000 2023;1734198637121736833;"Warga Jatim sepakat, Ganjar sebagai Calon Presiden 2024 adalah pilihan yang lebih bijak daripada memilih Prabowo yang pernah tersandung banyak kesalahan. @DiegoSetiawan75  https://t.co/Y315I228MD";0;0;0;0;in;1687413533720674304;1734198637121736833;VVolvariella;https://twitter.com/VVolvariella/status/1734198637121736833
Mon Dec 11 13:09:07 +0000 2023;1734198626728190172;"Di mata masyarakat Jatim, Ganjar Pranowo lebih dipercaya sebagai calon presiden karena dedikasinya yang terbukti dalam pembangunan daerah. @Dul_Qais  https://t.co/wUKjvLXwBW";0;0;0;0;in;1683046937375956993;1734198626728190172;__jctheodore;https://twitter.com/__jctheodore/status/1734198626728190172
Mon Dec 11 13:09:04 +0000 2023;1734198614132719916;"Warga Jawa Tengah yang merasakan manfaat dari kebijakan Ganjar pasti akan memberikan dukungan penuh jika beliau maju sebagai calon presiden. @eonecawanie  https://t.co/rIFEvxafZG";0;0;0;0;in;1689195418440404992;1734198614132719916;achamut34;https://twitter.com/achamut34/status/1734198614132719916
Mon Dec 11 13:08:52 +0000 2023;1734198567064289743;"Warga Jatim yakin Ganjar Pranowo adalah pilihan tepat sebagai Calon Presiden 2024, lebih dari sosok Prabowo yang pernah dipecat sebagai jenderal. @diazmhmd71  https://t.co/8PW1I2WAv3";0;0;0;0;in;1687044668578770944;1734198567064289743;nenahindi86425;https://twitter.com/nenahindi86425/status/1734198567064289743
Mon Dec 11 13:08:49 +0000 2023;1734198552048591303;"Calon presiden (Capres) 2024, Ganjar Pranowo, menegaskan regulasi di bidang kelautan ke depan harus berpihak pada nelayan. Regulasi yang dianggap tumpang tindih dan merugikan nelayan harus dikaji atau direvisi.  Hal itu disampaikan Ganjar usai menemui ratusan nelayan dari… https://t.co/AWr69Vcw82";0;0;5;14;in;711100063347384320;1734198552048591303;Jo_andre0809;https://twitter.com/Jo_andre0809/status/1734198552048591303
Mon Dec 11 13:08:45 +0000 2023;1734198535233634748;"@liputan6dotcom pak ganjar keren bgt dah, calon pemimpin idaman";0;0;0;0;in;1635624611630161920;1734132056295424177;doyanbakmiee;https://twitter.com/doyanbakmiee/status/1734198535233634748
Mon Dec 11 13:07:46 +0000 2023;1734198290202370359;"@detikcom Pak ganjar capres ideal";0;0;0;0;in;1723713905707642880;1734124610705391685;pysr05;https://twitter.com/pysr05/status/1734198290202370359
